"year","month","ppm"
1958,3,315.71
1958,4,317.45
1958,5,317.5
1958,6,317.1
1958,7,315.86
1958,8,314.93
1958,9,313.2
1958,10,312.66
1958,11,313.33
1958,12,314.67
1959,1,315.62
1959,2,316.38
1959,3,316.71
1959,4,317.72
1959,5,318.29
1959,6,318.15
1959,7,316.54
1959,8,314.8
1959,9,313.84
1959,10,313.26
1959,11,314.8
1959,12,315.58
1960,1,316.43
1960,2,316.97
1960,3,317.58
1960,4,319.02
1960,5,320.03
1960,6,319.59
1960,7,318.18
1960,8,315.91
1960,9,314.16
1960,10,313.83
1960,11,315
1960,12,316.19
1961,1,316.93
1961,2,317.7
1961,3,318.54
1961,4,319.48
1961,5,320.58
1961,6,319.77
1961,7,318.57
1961,8,316.79
1961,9,314.8
1961,10,315.38
1961,11,316.1
1961,12,317.01
1962,1,317.94
1962,2,318.56
1962,3,319.68
1962,4,320.63
1962,5,321.01
1962,6,320.55
1962,7,319.58
1962,8,317.4
1962,9,316.26
1962,10,315.42
1962,11,316.69
1962,12,317.69
1963,1,318.74
1963,2,319.08
1963,3,319.86
1963,4,321.39
1963,5,322.25
1963,6,321.47
1963,7,319.74
1963,8,317.77
1963,9,316.21
1963,10,315.99
1963,11,317.12
1963,12,318.31
1964,1,319.57
1964,2,320.07
1964,3,320.73
1964,4,321.77
1964,5,322.25
1964,6,321.89
1964,7,320.44
1964,8,318.7
1964,9,316.7
1964,10,316.79
1964,11,317.79
1964,12,318.71
1965,1,319.44
1965,2,320.44
1965,3,320.89
1965,4,322.13
1965,5,322.16
1965,6,321.87
1965,7,321.39
1965,8,318.81
1965,9,317.81
1965,10,317.3
1965,11,318.87
1965,12,319.42
1966,1,320.62
1966,2,321.59
1966,3,322.39
1966,4,323.87
1966,5,324.01
1966,6,323.75
1966,7,322.39
1966,8,320.37
1966,9,318.64
1966,10,318.1
1966,11,319.79
1966,12,321.08
1967,1,322.07
1967,2,322.5
1967,3,323.04
1967,4,324.42
1967,5,325
1967,6,324.09
1967,7,322.55
1967,8,320.92
1967,9,319.31
1967,10,319.31
1967,11,320.72
1967,12,321.96
1968,1,322.57
1968,2,323.15
1968,3,323.89
1968,4,325.02
1968,5,325.57
1968,6,325.36
1968,7,324.14
1968,8,322.03
1968,9,320.41
1968,10,320.25
1968,11,321.31
1968,12,322.84
1969,1,324
1969,2,324.42
1969,3,325.64
1969,4,326.66
1969,5,327.34
1969,6,326.76
1969,7,325.88
1969,8,323.67
1969,9,322.38
1969,10,321.78
1969,11,322.85
1969,12,324.11
1970,1,325.03
1970,2,325.99
1970,3,326.87
1970,4,328.13
1970,5,328.07
1970,6,327.66
1970,7,326.35
1970,8,324.69
1970,9,323.1
1970,10,323.16
1970,11,323.98
1970,12,325.13
1971,1,326.17
1971,2,326.68
1971,3,327.18
1971,4,327.78
1971,5,328.92
1971,6,328.57
1971,7,327.34
1971,8,325.46
1971,9,323.36
1971,10,323.57
1971,11,324.8
1971,12,326.01
1972,1,326.77
1972,2,327.63
1972,3,327.75
1972,4,329.72
1972,5,330.07
1972,6,329.09
1972,7,328.05
1972,8,326.32
1972,9,324.93
1972,10,325.06
1972,11,326.5
1972,12,327.55
1973,1,328.54
1973,2,329.56
1973,3,330.3
1973,4,331.5
1973,5,332.48
1973,6,332.07
1973,7,330.87
1973,8,329.31
1973,9,327.51
1973,10,327.18
1973,11,328.16
1973,12,328.64
1974,1,329.35
1974,2,330.71
1974,3,331.48
1974,4,332.65
1974,5,333.2
1974,6,332.13
1974,7,330.99
1974,8,329.17
1974,9,327.41
1974,10,327.21
1974,11,328.34
1974,12,329.5
1975,1,330.68
1975,2,331.41
1975,3,331.85
1975,4,333.29
1975,5,333.91
1975,6,333.4
1975,7,331.74
1975,8,329.88
1975,9,328.57
1975,10,328.35
1975,11,329.33
1975,12,330.59
1976,1,331.66
1976,2,332.75
1976,3,333.46
1976,4,334.78
1976,5,334.78
1976,6,334.06
1976,7,332.95
1976,8,330.64
1976,9,328.96
1976,10,328.77
1976,11,330.18
1976,12,331.65
1977,1,332.69
1977,2,333.23
1977,3,334.97
1977,4,336.03
1977,5,336.82
1977,6,336.1
1977,7,334.79
1977,8,332.53
1977,9,331.19
1977,10,331.21
1977,11,332.35
1977,12,333.47
1978,1,335.1
1978,2,335.26
1978,3,336.61
1978,4,337.77
1978,5,338.01
1978,6,337.98
1978,7,336.48
1978,8,334.37
1978,9,332.33
1978,10,332.41
1978,11,333.76
1978,12,334.83
1979,1,336.21
1979,2,336.65
1979,3,338.13
1979,4,338.94
1979,5,339
1979,6,339.2
1979,7,337.6
1979,8,335.56
1979,9,333.93
1979,10,334.12
1979,11,335.26
1979,12,336.78
1980,1,337.8
1980,2,338.28
1980,3,340.04
1980,4,340.86
1980,5,341.47
1980,6,341.26
1980,7,339.34
1980,8,337.45
1980,9,336.1
1980,10,336.05
1980,11,337.21
1980,12,338.29
1981,1,339.36
1981,2,340.51
1981,3,341.57
1981,4,342.56
1981,5,343.01
1981,6,342.49
1981,7,340.68
1981,8,338.49
1981,9,336.92
1981,10,337.12
1981,11,338.59
1981,12,339.9
1982,1,340.92
1982,2,341.69
1982,3,342.86
1982,4,343.92
1982,5,344.67
1982,6,343.78
1982,7,342.23
1982,8,340.11
1982,9,338.31
1982,10,338.39
1982,11,339.48
1982,12,340.88
1983,1,341.64
1983,2,342.87
1983,3,343.59
1983,4,345.25
1983,5,345.96
1983,6,345.52
1983,7,344.15
1983,8,342.25
1983,9,340.17
1983,10,340.3
1983,11,341.53
